,content
1181,"It's arguably the worst airline I've ever flown. Planes are old and dirty, food is crap, customer service is non-existing, the on-board entertainment system was down on both the outbound and inbound flights -not good news for a 8 1/2 hour flight with kids. The only positive things I found was the kindness of the flight attendants -kudos to them.
"
1182,"Really average. Left late from Kathmandu but made it right on time for our connection in New Delhi. The Delhi airport is nice and I wish I could say the same for the flight from New Delhi to Paris. Uncomfortable seats and not very tasty food. One perk though, a flight attendant gave me an extra gin and tonic :)
"
1183,"Air India is an awesome airline in our country but this airline is mostly used for abroad tours so most of these domestic flights gets cancelled due to lack of passengers.....
"
1184,"i liked my flight the stuff was amazing and nice only the choise of film were very limitied
the food was ok and the comfort totally ok
"
1185,"Took off on time and had 3 great meals. We landed 1 hour 4 minutes early. The food was tasty. Toilets were clean throughout most of the flight but not the end. They are not maintained by the cabin crew. The cabin crew are very friendly but they do not check for seat belts before takeoff or landing. Legroom was...
"
1186,"super an dfabulos flight loved airindia and airindia express all the best for me and my family from kerela.
"
1187,"I am tax payer of this country.. Money coming from my tax credits atleast part of your salary...
Tired, Lethargic, unpleasant faces is what you will see in Air India crew...... Arrogance in body language.... Lazyness in service....
If you ask for something (food, drinks) crew will go mad....... They will go crazy with attitiude how someone can ask them...
"
1188,"Used Air India twice during my recent trip, once to fly from Delhi to Jaipur and then from Amritsar to Delhi. The airline offers a wide range of choices for domestic flights and allows 25kg checked bag allowance which worked well for us as we were carrying all our bags with us. The flight costs were reasonable but that's where...
"
1189,"Average service, in flight cleaning needs to improve. In flight entertain system was faulty. Quality and choice of food was okaishhh. Value for money is good. Upgrade purchase wasn't available due to `full flight`.
"
1190,"Flew the reverse leg with IndiGo and the difference is remarkable. The budget airline planes have bright and newer looking interiors , well turned out staff and a generally dynamic appearance. Sadly by contrast Air India looks tired and in need of a refresh. No real problems with a short internal flight but the comparison is remarkable and given the...
"
1191,"This is one of the popular airline in India but probably less attention paid by its management in maintaining the standard of its fleet- cleanliness, seat comfort, food quality and quantity, smartness of crew members etc are an issue. In terms of leg room, I like their seating but the quality of seats are bad including the filthy seat covers...
"
1192,"After trying to check in online and getting error message I called the service center to learn that my flight has been degraded to economy class even though I booked and paid a business class ticket. I was forced to fly economy without any other choice. I have NEVER received any communication from Air India on the change and of...
"
1193,"I had asked for a wheelchair assistance for my mother. She had both her knees replaced and it was significantly difficult for her to stand for a long time and to walk on shiny surfaces. However, in both Kolkata and Delhi, AirIndia staff refused to give her wheelchair support. The reasons given were infuriating. In Kolkata, the staff member said...
"
1194,"I had never flown this airline in the past because of its bad reputation. But this time I had no other choice as it was the only airline operating a flight at a time which was convenient for me. Tickets were cheap. Contrary to what I had heard I had a nice time. The staff was trying its best to...
"
1195,"Pleasant surprise to fly a spacious plane and helpful staff. This we did from Delhi to Mumbai. Priced very well for the domestic trip and crew was professional.
Dinner was tasty, well served and done efficiently. We enjoyed this and will definitely use Air India for domestic flights again.
"
1196,"Flew on AI 433 which is on a vintage(At least 15 years old) A320.
Check-in was fine (I'm a *A Gold card so I was able to use the business queue in DEL). Lounge facilities were basic but more than adequate for a domestic flight.
Boarding was a complete mess (as is the case in India) I had to force...
"
1197,"Air India was unbelievably inept and uncaring. The flight had to make an emergency landing in Ankara to evacuate an ill passenger. Nobody had problems with that. It was the right thing to do. However we ended up staying Ankara for 24 hours and received NO updates or information from Air India. We were herded like cattle into a narrow...
"
1198,"AI has turn around nicely..I have been flying to AI since 2007. Internationally, it has improved a lot. Good support staff and on-time service are added to its operation.
"
1199,"Flight was on time. Good hospitality by the crew members. Taken care of my infant very well during the take off and landing. Very good flying experience.
"
1200,"While the food was certainly good matching the tradition, comfort can be made better. Ambience was quite Ok
"
1201,"check in officer is not nice ,very rude and did not give us the boarding pass. Just showed us the reason my son overstayed in India which is not true and we proved with proofs. They admitted their mistake finally after 2 months. I had to invest another ticket from Airindia. They did not give us any penalty and telling...
"
1202,"first of all, there is no guarantee that the flight will go on time because maximum time there is some issue or the other because of which flight operations are affected... our flight was delayed by 4.5 hours while the journey time was only 1.5 hours.. the airline was kind enough to offer snacks during the delay... the flight cabin...
"
1203,"The staff is to slow. The boarding gate opened at least 10-15 min after all the passengers came out. The condition of the aircraft was pathetic. It was almost 25-30 years old aircraft. The curtains at the entry were so dirty as if it was not washed/changed for years. The breakfast offered was well below average with just a few...
"
1204,"overall flight experience was good.
food quality as well.
thought the flight was late and had an 6 hrs layout at DELHI airport.
"
1205,"I found it pretty amusing when the staff kept asking what we would like to have (Meal and Drinks) when all they had was left was one option. I do understand that they make a most likely scenario and plan on meals but how can you run out of something like Juice???
"
1206,"Had a pleasant trip good hospitality and good customer service in time take off smooth flying i surely prefer to go as no traffic hurdle at Bngl after landing reached in time.
"
1207,"The behaviour of the staff was excellent. They plane was also very clean and their landing was very good. There was no problem even when the weather was turbulent. There was no problem with luggage delivery.
"
1208,"This was my first travel in Air India on Bangalore - Pune Sector. While booking, web site not showing clear Itinerary and after reaching Airport only i under stand that it is via Hyderabad. Bangalore - Hyderabad they offered Bread Sandwich with cool drink. But in Hyderabad - Pune sector, some hot snacks were offered.As the travel was in morning...
"
1209,"Best experience till now, my flight to Delhi was late so they accommodated me on the previous flight which was on time without any surcharge. I got the boarding passes till Bagdogra right in Mumbai airport and proceeded. At Mumbai itself i got a call stating that the connection from Delhi to Bagdogra is late. I got a good buffer...
"
1210,"In spite of being a very frequent overseas traveler, I have never tried Air India and always opted for Emirates , Etihad or Lufthansa. During my current trip to Germany on 22nd Apr'17, I opted for Air India little reluctantly and out of compulsion. The first leg of the travel was with flight AI 21 from Kolkata to Delhi. Check...
"
1211,"It's was a transit flight heading to Colombo and was traveling from Delhi to chnnai and then heading to Colombo Sri Lanka.it's was a very bad experience with flight in my life.travling with Air India flight like you are taking public transport in India.cabin crew was taking to all the passengers with their own language which can't understand as foreigner
"
1212,"I loved this airline only because it was offering additional 10Kgs of check in luggage to its frequent flier base members, this offer is discontinued and now all the guests will get 25Kg's limit for free check in luggage. I already flown several times with this airline, This was my 8th trip with them and the last one in past...
"
1213,"The Hospitality and serving hot food are incomparable enjoyed features.
But due to one or other reason Fleights are getting delayed and real-time information needs more attention as we Indians are moving towards e-information.
One of Senior colleague who travels other sector (Mum-Hyd) had informed that Friday night flight around 8.50pm are invariably getting delayed by 1 hrs since weeks....
"
1214,"Kozhikode-Mumbai-Raipur.
Though the flight says two different bookings, you dont need to get down at Mumbai, as the same flight carries on the onward journey albeit with different flight no.s. The staff was initially not clear about this, and asked us to alight at Mumbai, and just as we were walking to the Lounge to catch the next flight, they...
"
1215,"the airline was too good i travelled with an infant with me the staff adjusted the seats and gave me two seats to lay the sleeping baby
"
1216,"Booked for 10th wedding anniversary after few cancelled the route, so booked to go from Bengaluru instead and guess what cancelled that route too. Asked for refund, was given but after charging cancellation fee. What a joke, air India cancelled my flight but yet charge me, but after few comms got my full money back , ruined our celebration. Very...
"
1217,"Airing flight experience was quite positive. They did a great job in our round trip from Newark to Mumbai. Mostly want to compliment their people. For the most part all friendly, courteous in a genuine way, patient, helpful. I find their staff to be the nicest of any airline I have flown. Want to compliment the team on flight AI...
"
1218,"the food served on domestic flights is basic, a hot snack and a juice, but unfortunately the staff is very slow and not very helpful
"
1219,"Initially skeptical about the booking owing to the previous reviews about the frequent flight reschedule and delays, I went ahead to book a flight with Air India just to experience their service.
On contrary to what I was warned, I had a pleasant flying experience. The flight was on time. The food was very good, portions were reasonably huge with...
"
1220,"It was a return trip DXB-GOI-DXB
- Ground Staff was, Very Warm and Cordial (Both Airports)
- Flight appeared to be not Clean and well maintained (Luckily my seat was good)
- On Board service was very average (Passenger interaction point of View)
- Food, Quantity & Quality was nice (6/10)
- Comfortable leg room.
- Below Par on board...
"
1221,"I flew Delhi to HKG on the first leg and HKG to Mumbai on the second.
I have heard nothing but complaints about the staff of Air India over the years. I didn't see that myself. Yes the ground staff have slow and annoying down to a complete science, but the aircraft staff were attentive, helpful and seemed to care...
"
1222,"My previous review was along the lines of ""roomy, but worn aircraft"". This trip was similar except that I had a business class seat that would not recline or raise. It was stuck in kind of an intermediate position. The entire crew tried to get it unstuck to no avail. The flight was full and so I had a 15+...
"
1223,"I travelled from Varanasi to Agra. This was the only flight from anywhere to Agra at the time and I was very happy that Air India offered it, or else I would have to take an overnight train. The flight was of great value.
The flight was delayed. The inflight service was ok. Simple snacks and water were offered on...
"
1224,"As more than
90% of India""s population is Hindu my flight to India""s cultural city and a must for all Hindus to visit in their lifetime, preferably die their or definitely have one""s ashes scattered in the River Ganges in Varanasi. The flight leaving from Delhi was somber with incense on board indicating a visit to the holiest land. Only...
"
1225,"Excellent amenities and cooperation from flight staffs. Good food is served and full value for money.
"
1226,"We flew from Heathrow to Delhi and back the outgoing trip was average, there were 4 people in my group and we were all sat together bar 1 that was sat nearby (not great). The staff weren't particularly attentive or friendly and when it came to meal time threw pre ordered vegetarian meals contained meat. This was at first denied...
"
1227,"This is my first trial of Air India services, and I was so impressed!
Initially our booking was on Jet Airways, which we missed, thus looked for another booking, and air india was our best available option!
We were very hesitant but had to go on it as we had to be in Trivandrum on the same day.
Finding a...
"
1228,"Flight attendants were helpful, professional and not invisible! Food was ok, with snacks available during the entire flight, movie selections were adequate but could have been a bit more current. Bathrooms were kept clean and odor free during the flight. Blankets were of a size that your entire body was covered, a real plus! The BIG plus of this flight...
"
1229,"I used to fly with this aircompany many times on business from New Delhi to Mumbai and return but it was in 2010-2012 years. In 2016 i have chosen it for my leaisure trip from Mumbai to Madurai via Chennai and it was not good experience. It was smelling not good in the cabin from tiolet. Landing in Chennai was...
"
1230,"The complimentary meal provided was awesome. The legroom space & cleanliness is okay. The front office staff need to speak Hindi.
"
1231,"Cheaper fares do not always ensure a success and the best example of this was my experience on an 1 hour 25 minutes flight from Kolkata to Dibrugarh which was delayed for over 4 hours . It was not just the delay but the callous way in which air India handled the entire situation that made sure I would never...
"
1232,"Staff was helpful and courteous. Service was good.
Food served, was okay. Overall it's a good budget airline.
Although, Check-in took a lot of time due to inefficient service.
"
1233,"We booked this flight quite early in the 2016 year and noticed that this was the only airline heading to Surat from Delhi direct on the website CheapFlights.com. The aircraft was at that time to be an ATR prop aircraft however closer to the time we were sent notification that the aircraft type and time were changing to a A320...
"
1234,"Booked this Airline for the following reasons
price wise, economical
direct connection from New Delhi
Aircraft = Dreamliner
Indian
Indian Food
Experience
Calcutta to Delhi (AI-121) was also a Dreamliner, flight was average, food was good
Delhi to Rome (AI123) was a Dreamliner, flight was average, food was very good
Milan to Delhi was the worst experience, 50+ air-hostess, least...
"
1235,"I made complaint regarding the issues I had by email 3 time plus 4 time by phone.
I was informed by email from Rathish and BOM/Divya Rao, that someone will follow up with me but nobody has of yet. I send email out 3/19/17, they show how much they care customer service that what I think off NON.
"
1236,"Seven holidays that are cheapest if you book now...its was nicely driven and enjoyed the best food with family on sky
"
1237,"Enjoyed the flight and meal. Traveled in economy class and was comfortable with extra Leg space. Perhaps, I have seen best extra leg space in a flight run in a domestic route. Overall had a good flight experience.
"
1238,"Great Trip, good seats & food, friendly crew. Please inform the airline for any special requirements at least 24 hours before. No in-flight entertainment so keep your mobiles and tablets charged.
"
1239,"Possibly the worst airline in the world. Tried to get me to pay the duty manager at the airport cash for an upgrade then had a go at me when I refused saying I've got loads of money. Just a another sign of corruption that is common in India. Aeroplane was dirty food tasted like dogger and staff were rude...
"
1240,"Recently I have been flying Air India on their domestic sector Hyderabad to Kolkata and they provided hot breakfast but the thing is the breakfast taste/ made is not upto the mark, I Think they have to go for TAJ instead other vendors. Since, If you take for example MUMBAI, DELHI they opted for TAJ group for supplying on board...
"
1241,"We found this airline ok and better than we expected - the seating in Business Class was such that like a lot of the new configurations you are separated from your travelling partner and all the seats face the front at an angle - which we found a bit disconcerting
"
1242,"Recently I have been flying Air India on their domestic sector and contrary to all the comments I have seen , i find them extremely hospitable and welcoming .
This is the only airline which gives hot piping meals on all their sectors when one needs to buy even water on other airlines.
I noticed that their crew are very...
"
1243,"When people told me this airlines is a disgrace for India I though they were overacting, but no, they were right! planes as old as time, crew lost and unprepared, on the ground I took forever to check my bags because system was down, and it happens everyday according to frequent travelers. To my horror the worst part was the...
"
1244,"Flights are usually late. My flight was 4hrs late. Please see that the flights are on time. Flight is very comfortable n the food served is excellent. The crew is very helpful n courteous .
"
1245,"We ve been traveling around the world with different airlines but this particular flight was amazing.
The seats were large, comfortable and clean. The food served was the best on our entire Indian 2 week holiday. It was a really pleasant surprise.
The service too was great, even though there were only 3 of us In business class.
Well done...
"
1246,"Booked the flight 6 weeks ago, and 2 days before the flight we just called them to confirm if the flight times are intact and they said the flight connection are inaccuare and you will have to go to another flight and stay at the Airport entire night (13 hours) withthout accomodation. 2nd Option was get the flight after 2...
"
1247,"I travelled from London to Bangkok with Air India. Where to start? Tv monitor didn't work, I called the attendant, no answer, half an hour later, once more, no answer. Then after 2 hours I got one, said he would reset it. No check back to see if it work and couldn't get another one to attend me for the...
"
1248,"The flight was in the morning around 8.30. Reached the destination on time. Food was ok, service was ok not too much delightful. The best part is that its a direct flight. Experience of ground staff was also neutral. Overall it was ok.
"
1249,"Have used this air line in the past it was average but the last time I travelled with the air line it was a mightmare. It wasnt clean, the food was terrible and when you arrive at Dehli before continuing to Amritsar, the cleaners come on and they start cleaning just around you, spraying stuff all over including people! It...
"
1250,"Travelled both ways London/Delhi - outgoing plane was very dirty, service poor, 2 time changes prior to departure with no refund on pre-booked seats. Return trip was on a Dreamliner which I thought would be great but even this newer plane was dirty, toilets poorly supplied, toilet lid wouldn't stay up, plus a very long wait for meal on flight...
"
1251,"Terrible bag handling experience. When the flight landed in India, we could see that the suitcase wheel has been broken and all the items inside the bag has been opened.Also the flight has been delayed for 3 hrs and no apologies from anyone.
The quality of food was very poor and I won't be using Air India again.
"
1252,"Flight from Newark to Mumbai was great. Good service, decent food. TV screen worked. The return flight Mumbai to Newark had problems. The TV screen did not always work. Overhead light didn't work. The service was very poor. Pushed the Attendant button several times but they never came. The toilets ran out of paper several times and were not replaced...
"
1253,"Booked flight 2 months in front and they cancelled 3 days before and reschedguled flight instead 9.55 it was 13.50...it would be ok if that didnt cost us so much time in delhi it was totall traffic jam at 17 h when we came...totall spoiled day....they didnt gave any option except going that time or evening very late or the...
"
1254,"Short flight but out of all the short flights we did in India this was the best airline. Very clean, good leg room, free snacks, good staff, comfortable seats and no cancellations.
"
1255,"We selected this flight because it was non stop. The flight Attendants were all very friendly and helpful. Nothing was a problem for them. They were cheerful and accommodating. some people commented about the toilets, on both flights they were clean no problems at all. I did find the seats were hard and not very comfortable. The movie choice was...
"
1256,"I am a frequent flyer of Air India, and this was my honeymoon trip to Melbourne.
the Food served was good, I got Emergency seats which means extra legroom.
"
1257,"We booked this flight during their sale period and got an excellent deal. 2900/- to and fro pp. good service right from checkin till landing. The only back drop was the snacks tat was served in flight.....only a sandwich of one slice bread was served with a pack of mango juice(real). The piece that i rcvd barely had any fillings...
"
1258,"The check-in/boarding was smooth and so the flight was able to take off ten minutes before time. Overall a comfortable journey and a very co-operative and helpful inflight crew.
Only drawback was that they did not serve hot meals though it was lunch time.
AI's catering department ought to be sensitive to the passengers basic amenities.
"
1259,"There is only one direct flight a week from Srinagar in Kashmir to Leh in Ledakh and that is by Air India, flight time is 55 mins. The flight itself left on time and the seats were comfortable albeit a little cramped in terms of leg room, The scenery on this route was obviously spectacular given that much of the...
"
1260,"On time departure and arrival, perfect baggage handling, perfect meals and perfect seats! Our bag which was marked fragile was separately given to us (it was not put on the conveyer belt). Couldn't have asked for anything more!
"
1261,"Much better experience than going to India in terms of food and overall. Ground staff at Mumbai Airport were very helpful. Food was of much better quality and airplane crew was very polite an decent, service was good, we enjoyed our flight as we were coming back home after 5 weeks of traveling. As there is always room for improvement
"
1262,"Pleasant, could be better with better food, I am sure they are thinking of using newer planes with better features for entertainment. Being almost 15 hours flight, we enjoyed and relaxed.
"
1263,"Checking from International Terminal. It was a BOEING 787-8-788. Very much comfortable. Seats are good. Food quality is good. 20 min delay landing at Kolkata due to run way issue.
"
1264,"Flight from BKK to Delhi.good price and cheaper than other airline but standard service, facility on board are nice and every you need to get from them, in Economy class you get a meal too. But although new aircraft but some smelt of spicy on borad too. In toilet not clean much!! Around 5 hrs from BKK if you want...
"
1265,"On 23rd Feb flew on AirIndia from Bkk to Lko on flight AI333/AI811.The checked in suitcase was mishandled & wheels broken.lodged a damage report and had to send the bag to the airline to repair which they sent to a substandard vendor who ruined it further and all AIr India officials in Lucknow say is that this is the best...
"
1266,"The food I had ordered veggie and it was very good dinner but the breakfast was a slice of white bread cut in half the crusts were cut off and it had a piece of lettuce in the centre disgraceful !!! In Six hours were given one orange juice to drink we did have one small bottle of wine after...
"
1267,"It was good to be on board with air India flight AI-819 and AI-820 during my journey from Vadodara to Delhi and back.The flight is nice,clean and very well maintained.They provide good food.The service is also up to the mark.only the staff uniform is not so pretty as it should have although it is oldest airlines of India.
"
1268,"The aircraft was old but the service was excellent. The flight was on time and the check in and baggage clearances were pretty good. However, handling excess baggage and treatment meted to people travelling with additional bag and willing to pay the cost for the extra Kilo was not very good. Need improvement.
"
1269,"There is a sea change in the service levels of Air india. Excellent service and great food are some of the qualities that they have strictly adhering too. Though the aircraft looked old, the interiors looked good.
"
1270,"Always horrible journey if we travel from Mumbai to Jeddah via Hyderabad. Some time they will serve bad quality of food and occasionally tasty food also will be served. It will take around 8 plus hours travel time to Jeddah instead of 5 hours if we travel directly to Jeddah from Mumbai. Toilets were not maintained well in this Jumbo...
"
1271,"Travel comfort and in flight service is class, time keeping these days in domestic sector is many times a problem
"
1272,"Seats in business class were roomy, but the upholstery was extremely worn. For some seats, the recline was not working which is a disaster on a 15-hour flight. Thankfully, my seat was not one of the broken ones, but not everyone was so fortunate. The food was primarily Indian fare, as is to be expected on an Indian airlines. The...
"
1273,"Good service with Indian food. Sometimes the food is too cold but can get food/beverages any time. Supportive staff. Entertainment system not upto mark as most of the times entertainment system in almost half the seats are not working
"
1274,"It was one hour 30 mins journey from Bhuj to Mumbai on 27th Mar 2017. Flight was on time. The plane was new and everything was good. The one thing disappointed was the food. Very tasteless. It can be much better!
"
1275,"Had flight with air India, they changed this two weeks before flying, could not offer direct alternative flight not happy at all. Could not enjoy my journey in India and the pre-excitement was ruined
"
1276,"Good Services, decent food..really this time it was still better than the previous time. Overall a very nice experience flying with Air India..
"
1277,"FANTASTIC FLIGHT ,We were getting late to the boarding door called us up arranged cart for parents!being indian food was to my taste!nice movie great lift off nad touch down.Mumbai a Great airport!
"
1278,"Flying in India Air India offers the best prices! The food is good and the staff very kind. The seats are comfortable and the blankets very nice!
"
1279,"The seats are comfortable, the prices affordable and the service memorable! Thanks! I will keep flying Air India! Plus the food magnificent!
"
1280,"Air India is always a good choice for traveling trough airways , as it provides better comforts and services to passengers in a well-mannered way.
"
1281,"This review is for AI 687 Bom - Del on Boeing 777 300 ER flight. Staff were helpful and polite. Snacks and other services were also good . Only complaint i have is the compact seat and less leg room for economy class.
"
1282,"Traveled from Birmingham,efficient check in,but chaotic boarding as everybody boards at the same time,leading to blocked isles as people try to put luggage in lockers.Limited choice of food,curry or curry,limited choice free drinks,staff poor attitude.Return flight even more bizarre, as self operating dimming windows on the Dreamliner,permanently blacked out by crew ,this on a day flight,making the whole journey as...
"
1283,"There is no denying that for a flight from India to Italy, Air India is a perfect choice. However do not make the mistake of booking your ticket on the Air India website. In the Airline's website the fare for our Kolkata- Rome and Milan-Kolkata flight in Oct2016 was quote for around Rs70,000 whether MakeMyTrip was quoting & Rs40000! Also...
"
1284,"Good in flight comfort and legroom. Decent snack. We were on schedule. Staff was courteous. Overall a very good experience flying with Air india
"
1285,"I flew with my husband and two kids (7 and 9) on the direct flight from JFK to New Delhi. This is a 15 hour flight and we were counting on the entertainment system to help pass the time. I should have known something was wrong when my daughter's seat's screen would not respond to touch and three of the...
"
1286,"it was my first trip by air,but i totally disappointed about is service,food is worst experience,delhi to srinagar flight 1 hour delay. not a good experience on Air India .
"
1287,"Was to fly from Dibrugarh to Kolkata and than Vadodara. Air India is only airlines that gives you journey Break tickets with more than 24 hrs also. So flew from Dibrugarh to Kolkata and.them Kolkata to Mumbai after almost 23 hrs. As always had web check in so fast boarding. Had an aisle seat then asked.n got emergency window sheet....
"
1288,"The in flight crew was very courteous, the food and the drink were good, so was the inflight movies.
"
1289,"AIR INDIA is the national airline of India. It offers service over large section of the domestic route. I have traveled in this air line number of times. The travel between New Delhi to New York is very good. The flight offers a 12+hours non-stop service. There by providing a travel in short possible time. The airlines connects almost all...
"
1290,"I travelled back from Dubai to Delhi via Air India and found it comfortable flight. It was totally value for money. and service was also good. Food is one area where can improve. other than that it was overall good experience.
"
1291,"The flight was delayed by an hour. Clean and tidy. The in-flight meal was sumptuous. Better experience in comparison to few other flights in terms of comfort.
"
1292,"The flight was on time while going to Delhi, however while returning it delayed.
Its a nice Airline, dont understand why they dont keep up the service.
This is time it was still better than the previous ones.
However the deal launched by them between Rajdhani sectors for Air fare is a steal deal and you should definitely take advantage...
"
1293,"I went to Delphi about a week ago. It was a terrible experience. What interested me was 16 hours straight flight. What the bad was following:
1) TV monitors didn't work. Fine. I can leave w/o it. I can sleep for a while
2) No wifi - really. 16 hrs w/o Wifi.
3) 2/5 toilets didn't work in the back...
"
1294,"Air India is a pride of india i visited delhi to mumbai on dated 11/03/2017 with my friend by air india in dreamliner very good experience very good airlines co.op staff our all very good performance.
"
1295,"Flight was on time. The leg room on the plane is decent from other flights i have been on. The usb port was broken. When we landed i had water leaking from above onto me which was disgusting. Staff were quite rude and had the ""i cant be bothered attitude"" not very helpful. The food was not very nice my...
"
1296,"Reasonably Good to Fly. Maharaja trying to maintain quality service at cost,
yes there is scope to improve better with more passengers support.
"
1297,"Flight path was Bahrain -Newdelhi-Kolkata. The flight from Bahrain International airport to New Delhi ( AI 940) was horrible. Leg room was poor, food was terrible & cabin crew were useless. Even the in flight entertainment was not working. They should retire that aeroplane.
However the flight from New Delhi-Kolkata( AI 401) was the much more improved and modern. The...
"
1298,"We had booked our flight with Air India from Goa to Mumbai departing on flight AI84, Wednesday 1st March at 22.35. We were then connecting with Air India flight to Bangkok which was departing on 2nd March at 01.45.
We were able to check in online the day before, so all was good and we arranged for the taxi to...
"
1299,"Recently, I travelled from Kolkata to Chennai and Chennai to Dhaka( with stopover in Kolkata).
All the three legs of my journey were perfectly on time.
The Aircrafts were clean and toilets were OK. \
Lunch served in Kolkata - Chennai and Chennai- Kolkata leg was quite fine.
I am quite satisfied with the quality of service. Only inflight entertainment...
"
1300,"The service from the time of check in till you are greeted out of the aircraft was superb. The staff really took care all of the needs.
"
1301,"Excellent flight with class service.
Very good leg space and comfortable sitting. Complimentary meals. With LCD on front with movies and music as per your choice or else see your flying track.
Awesome experience.
"
1302,"We flew with Air India 5 times during our recent trip to Dibrugarh and found they airline to be very average. The plane seemed very neglected and several components was working like the USB being damaged, headphone jack not working, touch screen not working etc. The only served drinks once on a 9 hour flight. The only positive was that...
"
1303,"Thursday morning 2nd of March and we started boarding our Air India flight AI330 to Bangkok at 00.45, an hour before we were due to take off. Despite this early boarding we were 20 minutes late in departing, think they were waiting for connecting flights as people boarded very late.
The flying time was scheduled to take 4 hours and...
"
1304,"In January, I had traveled in Air India flight and I was having avery torturous journey as the food offered by the airline and stinking toilets had affected my health very badly for not less than 2 months. I had to travel back to India for attending my brother's marriage but due to poor services of the airline I had...
"
1305,"First the flight was delayed beyong an hour without any announcements. Secondly baggage did not arrive at destination and baggage handling was done by Shared Staff who did not had any authority to help me. Just filled up the form and informed baggage would be delivered once located, Baggage finally arrived after 48 hours which was after my conference. While...
"
1306,"despite being on a relatively new plane -787- many things were either not working [no power to the seat] or were already missing [seat next to me had the two main controls for the audio-visual missing making it useless] and mine had the button for the overhead light missing and non functional [cabin staff had to be requested to doi...
"
1307,"nice flight to kochi...though a long flight but was a comfortable one with good breakfast...Recommended
"
1308,"They maintained their standard of usual delays. It does affect the time schedule of passengers. Somewhere accountability is to be ensured for such time delays.
"
1309,"The seat I was allotted had a broken tray table. I could see a huge crack on the seat in front of me. The on-seat television system was in extremely bad condition. Both remote and the set was not working. The touch has a very poor quality (it will take an eternity to switch and scroll on these sets). I...
"
1310,"I had a very bad experience on Air India, they changed a time on one sector of my flight without changing the time of the connecting flight, when I booked they booked my connecting flight automatically, considering the fact they changed the time of my 1st flight they would change the connecting flight automatically, no yes no they did not....
"
1311,"First my flight was leaving from London Heathrow at 1:00 Noon and should arrive at Newark at 4:00 PM. Then I have contacted flight from Newark with JetBlue which leave at 9:50 PM and should arrive at Orlando FL at 00:28 next day. My flight was delay which was coming from India by just over 6 hours. I call Air...
"
1312,"It has been ages since I travelled by Air India, mainly due to lack of service commitment. My last trip was booked on Air India, to my amazement the experience has been wonderful from check in to in flight.
At one time I was actually thinking if I was travelling in Air India. The staff was co -operative, very soft...
"
1313,"Flight service is not as per standard of Star Alliance , the only benefit is you have a direct flight from Hong Kong to Delhi .
Not satisfied with the flight , i will explore other option next time other than AI 315
"
1314,"I always travel on Air India as they provide good connections and as I travel internally in India on Air India, we qualify for extra luggage on Internal flights.
We even managed to get a direct return flight from Ahmedabad to London--on a new aircraft with excellent service.
"
1315,"AI 173, March 9 DEL-SFO
WOW! Where do I start as to how the flight was:
Let me begin with the good part - It is a direct flight - very convenient; and it was mostly on time - both departure and arrival . But that is where the good part ends in my experience.
a) The cabin becomes a...
"
1316,"I was to fly from from Bhopal to Mumbai early this week. The flight which was to take off at 9.50 pm actually took off around midnight. Very frustrating indeed.
"
1317,"I took Air India flight 102 (NY-Delhi) on Monday 2/20 arriving on time on Tuesday 2/21. However, my suitcase did not. I filed a claim and was told it would take 24-48 hours to arrive. Since I was on a tour going to multiple cities, I gave AI reps my itinerary and the hotels I will be staying at. Also,...
"
1318,"One of the worst experiences. Seat would not lock in place at recline, Entertainment was broken throughout the 15 hour flight. Overhead light not working as remote was broken. Food Tray was cracked! Then again an airline that is billions in losses, barely paying the Pilot and on-ground mechanical team to keep the bird flying will not have money for...
"
1319,"There is 2.5hrs delay due to technical problem which was informed at the very last moment. However they provided dinner at a restro in the airport.
Airhostess were some how rude compared any other airlines travelled till now and compared to International airline standards.
Food Quality is Good. Flight was comfortable as it is a dream liner. But maintenance is...
"
1320,"its the best thing when one can reach within two cities in minutes instead of hours. the 50 mins flight is on ATR and the meal or snack is also good
"
1321,"Business Class on Air India is terrible. Recently I flew their nonstop from San Francisco to New Delhi and back again. 15 or 16 hours in a comfortable seat would be a challenge. But a flight that long in seats that have to be 20 years old, with no amenities, is an unpleasant, even painful, experience. The interior ambiance is...
"
1322,"Air India is the largest and flag carrier airline of India. In Flight food was good Quality. Staff was good. In Air India Domestic Flight TV,not worked and audio ear plugs don't connect properly, For Entertrainment only newspapers and magazines was Avilable. Air India airline offer & book flight tickets at lowest airfares. Get cheap Air India air tickets online...
"
1323,"The food onboard the flight from Bombay to Bhubaneswar was excellent.
The flight itself was on time, reached on schedule.
It took unusually long time for our luggage to arrive, but that's not something I have experienced at Biju Patnaik Airport often.
on the whole a pleasant experience.
"
1324,"This was a great flight.The food was good and fresh.The seats had a lot of legroom.What was different was the in-flight entertainment.There was a lot to choose from as far as bollywood was concerned.There was even much more to choose from the in-flight entertainment as far as non-bollywood is concerned.This is not generally expected in a domestic flight.Thats not all.I...
"
1325,"This short flight from Mumbai to Mangalore is about 1:15 hrs. But they served lunch. the flight was spacious and had lots of leg room. Air hostess were cordial and there were many kinds of newspapers and magazines for entertainment
"
1326,"very good food and lots of leg room. Very good entertainment on flight. You have a selection of not only Hollywood but also Bollywood movies, fashion, health, documentary, destination details, etc.
"
